------BEGIN-----
Set Voltages and References
VSet 8KV,|-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,0,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000|
VSet 3KV,|-3000,-3000,-3000,-2500,-2500,-2500,-2000,-2000,-2000,-1500,-1500,-1500,-1000,-1000,-1000,-500,-500,-500,0,0,0,0,0,0,0,0,0,0,0,0,-500,-500,-500,-1000,-1000,-1000,-1500,-1500,-1500,-2000,-2000,-2000,-2500,-2500,-2500,-3000,-3000,-3000,0,0,0|
-----------
 
Meter readings
HV+ Meter High,|-6970.0,-6960.0,-6950.0,-6470.0,-6460.0,-6450.0,-5970.0,-5960.0,-5950.0,-5470.0,-5460.0,-5450.0,-4970.0,-4960.0,-4950.0,-4470.0,-4460.0,-4450.0,-3970.0,-3960.0,-3950.0,-3970.0,-3960.0,-3950.0,10.0,10.0,10.0,4030.0,4040.0,4050.0,3530.0,3540.0,3550.0,3030.0,3040.0,3050.0,2530.0,2540.0,2550.0,2030.0,2040.0,2050.0,1530.0,1540.0,1550.0,1030.0,1040.0,1050.0,4030.0,4040.0,4050.0|
HV+ Meter Low,|-7030.0,-7040.0,-7050.0,-6530.0,-6540.0,-6550.0,-6030.0,-6040.0,-6050.0,-5530.0,-5540.0,-5550.0,-5030.0,-5040.0,-5050.0,-4530.0,-4540.0,-4550.0,-4030.0,-4040.0,-4050.0,-4030.0,-4040.0,-4050.0,-10.0,-10.0,-10.0,3970.0,3960.0,3950.0,3470.0,3460.0,3450.0,2970.0,2960.0,2950.0,2470.0,2460.0,2450.0,1970.0,1960.0,1950.0,1470.0,1460.0,1450.0,970.0,960.0,950.0,3970.0,3960.0,3950.0|
Vout+,|-7003,-7002,-7001,-6497,-6497,-6495,-5981,-5977,-5977,-5488,-5484,-5472,-4947,-4936,-4934,-4450,-4451,-4445,-3945,-3950,-3951,-3947,-3949,-3950,-1,-1,-1,3984,3983,3981,3464,3463,3465,2968,2965,2964,2471,2474,2473,1974,1978,1979,1460,1463,1474,943,943,942,3966,3965,3964|
HV- Meter High,|1030.0,1040.0,1050.0,1530.0,1540.0,1550.0,2030.0,2040.0,2050.0,2530.0,2540.0,2550.0,3030.0,3040.0,3050.0,3530.0,3540.0,3550.0,4030.0,4040.0,4050.0,4030.0,4040.0,4050.0,10.0,10.0,10.0,-3970.0,-3960.0,-3950.0,-4470.0,-4460.0,-4450.0,-4970.0,-4960.0,-4950.0,-5470.0,-5460.0,-5450.0,-5970.0,-5960.0,-5950.0,-6470.0,-6460.0,-6450.0,-6970.0,-6960.0,-6950.0,-3970.0,-3960.0,-3950.0|
HV- Meter Low,|970.0,960.0,950.0,1470.0,1460.0,1450.0,1970.0,1960.0,1950.0,2470.0,2460.0,2450.0,2970.0,2960.0,2950.0,3470.0,3460.0,3450.0,3970.0,3960.0,3950.0,3970.0,3960.0,3950.0,-10.0,-10.0,-10.0,-4030.0,-4040.0,-4050.0,-4530.0,-4540.0,-4550.0,-5030.0,-5040.0,-5050.0,-5530.0,-5540.0,-5550.0,-6030.0,-6040.0,-6050.0,-6530.0,-6540.0,-6550.0,-7030.0,-7040.0,-7050.0,-4030.0,-4040.0,-4050.0|
