ClampSp,ActualSp,Digital,Meter_Diff,Ecat_Diff
300,143,1171,299.565,373
400,232,1900,400.324,472
500,313,2563,500.691,570
600,396,3243,600.513,670
700,481,3939,700.379,767
800,570,4668,799.958,867
900,657,5380,900.047,968
1000,748,6126,999.937,1065
1100,840,6879,1100.216,1165
1200,932,7633,1200.3,1263
1300,1024,8386,1299.93,1362
1400,1117,9148,1400.339,1465
1500,1209,9901,1499.227,1552
1600,1303,10671,1600.064,1650
1700,1396,11433,1699.555,1755
1800,1489,12194,1798.829,1844
1900,1583,12964,1899.035,1943
2000,1677,13734,1998.99,2042
2100,1771,14504,2098.93,2138
2200,1865,15274,2198.654,2236
2300,1960,16052,2299.265,2335
2400,2054,16822,2399.014,2434
2500,2148,17592,2498.612,2532
2600,2242,18361,2598.102,2630
2700,2337,19140,2698.876,2729
2800,2431,19909,2798.351,2826
2900,2525,20679,2897.935,2933
3000,2620,21457,2998.56,3033
3100,2714,22227,3098.069,3133
3200,2808,22997,3197.5662,3234
3300,2903,23775,3298.0334,3316
3400,2997,24545,3397.8125,3470
3500,3092,25323,3498.1214,3514
3600,3186,26093,3597.5246,3610
3700,3281,26871,3697.7481,3708
3800,3375,27641,3797.0769,3807
3900,3470,28419,3897.1079,3905
4000,3565,29197,3997.2683,4005
4100,3660,29975,4097.5269,4103
4200,3755,30753,4197.4848,4203
4300,3849,31523,4296.6188,4299
4400,3944,32301,4396.4821,4397
4500,4040,33087,4497.3076,4506
4600,4135,33865,4597.2535,4594
4700,4230,34643,4696.9604,4692
4800,4325,35421,4796.7743,4791
4900,4420,36199,4896.5294,4897
5000,4518,37002,4999.46335,5083
5100,4613,37780,5099.25621,5099
5200,4708,38558,5198.80114,5186
5300,4804,39344,5299.42338,5285
5400,4899,40122,5398.9859,5383
5500,4995,40909,5499.5986,5483
5600,5090,41687,5599.1743,5581
5700,5185,42465,5698.5704,5678
5800,5281,43251,5798.8752,5778
5900,5376,44029,5898.4964,5876
6000,5472,44815,5998.6454,5973
6100,5568,45601,6099.1985,6074
6200,5663,46380,6198.5377,6173
6300,5759,47166,6298.6592,6282
6400,5855,47952,6398.9856,6368
6500,5951,48738,6499.0305,6467
6600,6046,49516,6598.35,6564
6700,6142,50303,6698.4155,6664
6800,6238,51089,6798.4745,6763
6900,6334,51875,6898.6058,6867
7000,6430,52661,6998.504,6972
7100,6526,53447,7098.5879,7087
7200,6622,54234,7198.537,7156
7300,6718,55020,7298.21,7282
7400,6814,55806,7398.195,7379
7500,6911,56601,7499.005,7500
7600,7007,57387,7598.862,7610
7700,7103,58173,7698.689,7708
7800,7199,58959,7798.479,7753
7900,7295,59746,7898.566,7849
8000,7391,60532,7998.171,8034
