------BEGIN-----
Set Voltages and References
VSet 8KV,|-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,-8000,0,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000|
VSet 3KV,|3000,3000,3000,2500,2500,2500,2000,2000,2000,1500,1500,1500,1000,1000,1000,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,1000,1000,1000,1500,1500,1500,2000,2000,2000,2500,2500,2500,3000,3000,3000,0,0,0|
-----------
 
Meter readings
HV+ Meter High,|7045.0,7062.5,7080.0,6542.5,6558.75,6575.0,6040.0,6055.0,6070.0,5537.5,5551.25,5565.0,5035.0,5047.5,5060.0,4532.5,4543.75,4555.0,4030.0,4040.0,4050.0,4030.0,4040.0,4050.0,10.0,10.0,10.0,4030.0,4040.0,4050.0,3527.5,3536.25,3545.0,3025.0,3032.5,3040.0,2522.5,2528.75,2535.0,2020.0,2025.0,2030.0,1517.5,1521.25,1525.0,1015.0,1017.5,1020.0,4030.0,4040.0,4050.0|
HV+ Meter Low,|6955.0,6937.5,6920.0,6457.5,6441.25,6425.0,5960.0,5945.0,5930.0,5462.5,5448.75,5435.0,4965.0,4952.5,4940.0,4467.5,4456.25,4445.0,3970.0,3960.0,3950.0,3970.0,3960.0,3950.0,-10.0,-10.0,-10.0,3970.0,3960.0,3950.0,3472.5,3463.75,3455.0,2975.0,2967.5,2960.0,2477.5,2471.25,2465.0,1980.0,1975.0,1970.0,1482.5,1478.75,1475.0,985.0,982.5,980.0,3970.0,3960.0,3950.0|
Vout+,|-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1|
HV- Meter High,|1015.0,1017.5,1020.0,1517.5,1521.25,1525.0,2020.0,2025.0,2030.0,2522.5,2528.75,2535.0,3025.0,3032.5,3040.0,3527.5,3536.25,3545.0,4030.0,4040.0,4050.0,4030.0,4040.0,4050.0,10.0,10.0,10.0,4030.0,4040.0,4050.0,4532.5,4543.75,4555.0,5035.0,5047.5,5060.0,5537.5,5551.25,5565.0,6040.0,6055.0,6070.0,6542.5,6558.75,6575.0,7045.0,7062.5,7080.0,4030.0,4040.0,4050.0|
HV- Meter Low,|985.0,982.5,980.0,1482.5,1478.75,1475.0,1980.0,1975.0,1970.0,2477.5,2471.25,2465.0,2975.0,2967.5,2960.0,3472.5,3463.75,3455.0,3970.0,3960.0,3950.0,3970.0,3960.0,3950.0,-10.0,-10.0,-10.0,3970.0,3960.0,3950.0,4467.5,4456.25,4445.0,4965.0,4952.5,4940.0,5462.5,5448.75,5435.0,5960.0,5945.0,5930.0,6457.5,6441.25,6425.0,6955.0,6937.5,6920.0,3970.0,3960.0,3950.0|
