BiasSp,ActualSp,Digital,Meter_CT,Ecat_CT
-100,7999,2158,-100.1621,-102
-200,7999,4256,-199.9592,-202
-300,7999,6353,-299.7075,-302
-400,7999,8471,-400.4296,-401
-500,7999,10567,-500.1568,-502
-600,7999,12664,-599.8701,-601
-700,7999,14765,-699.7582,-701
-800,7999,16883,-800.4568,-800
-900,7999,18981,-900.1516,-899
-1000,7999,21099,-1000.796,-1001
-1100,7999,23195,-1100.378,-1101
-1200,7999,25315,-1201.11,-1200
-1300,7999,27412,-1300.669,-1300
-1400,7999,29532,-1401.345,-1400
-1500,7999,31629,-1500.791,-1500
-1600,7999,33747,-1601.325,-1600
-1700,7999,35845,-1700.884,-1699
-1800,7999,37963,-1801.359,-1799
-1900,7999,40082,-1901.851,-1900
-2000,7999,42178,-2001.278,-1998
-2100,7999,44297,-2101.734,-2100
-2200,7999,46416,-2202.181,-2200
-2300,7999,48512,-2301.542,-2300
-2400,7999,50631,-2401.902,-2401
-2500,7999,52750,-2502.28,-2501
-2600,7999,54867,-2602.485,-2602
-2700,7999,56965,-2701.896,-2702
-2800,7999,59084,-2802.189,-2802
-2900,7999,61202,-2902.368,-2903
-3000,7999,63321,-3002.853,-3000
